Поисковые запросы
9 авг. 2026 - 7 сент. 2026
Поисковый запрос,Тип соответствия,Добавленные/Исключенные,Кампания,Группа объявлений,Kлики,Показы,CTR,Код валюты,Ср. цена за клик,Расходы,Тип кампании,Коэфф. конверсии,Конверсии,Стоимость/конв.
free flower samples,Максимальная эффективность,Не используется,PMax | All Products,,4,290,"1,38%",USD,"1,20","4,80",Максимальная эффективность,"0,00%","0,00","0,00"
wedding flowers cost,Максимальная эффективность,Не используется,PMax | All Products,,4,270,"1,48%",USD,"1,10","4,40",Максимальная эффективность,"0,00%","0,00","0,00"
flower shop hiring,Максимальная эффективность,Не используется,PMax | All Products,,3,240,"1,25%",USD,"1,10","3,30",Максимальная эффективность,"0,00%","0,00","0,00"
cheap roses online,Максимальная эффективность,Не используется,PMax | All Products,,3,220,"1,36%",USD,"1,00","3,00",Максимальная эффективность,"0,00%","0,00","0,00"
flowers delivered tomorrow,Максимальная эффективность,Не используется,PMax | All Products,,2,180,"1,11%",USD,"1,10","2,20",Максимальная эффективность,"0,00%","0,00","0,00"
Итого (Поисковые запросы),,,,,355,14 290,"2,48%",USD,"2,11","748,30",,"5,07%","18,00","41,57"
Итого (Другие поисковые запросы),,,,,118,5 240,"2,25%",USD,"2,43","286,40",,"3,39%","4,00","71,60"
Итого (Аккаунт),,,,,473,19 530,"2,42%",USD,"2,19","1034,70",,"4,65%","22,00","47,03"
Итого (Максимальная эффективность),,,,,55,3 480,"1,58%",USD,"1,17","64,50",Максимальная эффективность,"5,45%","3,00","21,50"
Итого (Поиск),,,,,300,10 810,"2,78%",USD,"2,28","683,80",Поиск,"5,00%","15,00","45,59"
